miRNA, Clontech_trimmed.1.fq, Clontech_trimmed.2.fq, Clontech_trimmed.3.fq, Clontech_trimmed.4.fq, Clontech_trimmed.5.fq, Clontech_trimmed.6.fq, Clontech_trimmed.7.fq, Clontech_trimmed.8.fq, Clontech_trimmed.9.fq, Clontech_trimmed.10.fq, Clontech_trimmed.11.fq, Clontech_trimmed.12.fq, Clontech_trimmed.13.fq, Clontech_trimmed.14.fq, Clontech_trimmed.15.fq, Clontech_trimmed.16.fq, Clontech_trimmed.17.fq, Clontech_trimmed.18.fq, Clontech_trimmed.1_acc.fq, Clontech_trimmed.2_acc.fq, Clontech_trimmed.3_acc.fq, Illumina_trimmed.1.fq, Illumina_trimmed.2.fq, Illumina_trimmed.3.fq, Illumina_trimmed.4.fq, Illumina_trimmed.5.fq, Illumina_trimmed.6.fq, Illumina_trimmed.7.fq, Illumina_trimmed.8.fq, Illumina_trimmed.9.fq, Illumina_trimmed.1_acc.fq, Illumina_trimmed.2_acc.fq, Illumina_trimmed.3_acc.fq, NEB_trimmed.1.fq, NEB_trimmed.2.fq, NEB_trimmed.3.fq, NEB_trimmed.4.fq, NEB_trimmed.5.fq, NEB_trimmed.6.fq, NEB_trimmed.7.fq, NEB_trimmed.8.fq, NEB_trimmed.9.fq, NEB_trimmed.10.fq, NEB_trimmed.11.fq, NEB_trimmed.12.fq, NEB_trimmed.1_acc.fq, NEB_trimmed.2_acc.fq, NEB_trimmed.3_acc.fq, NEXT_trimmed.1.fq, NEXT_trimmed.1.fq, NEXT_trimmed.2.fq, NEXT_trimmed.3.fq, NEXT_trimmed.4.fq, NEXT_trimmed.5.fq, NEXT_trimmed.6.fq, NEXT_trimmed.7.fq, NEXT_trimmed.8.fq, NEXT_trimmed.9.fq, NEXT_trimmed.10.fq, NEXT_trimmed.11.fq, NEXT_trimmed.12.fq, NEXT_trimmed.13.fq, NEXT_trimmed.14.fq, NEXT_trimmed.15.fq, NEXT_trimmed.16.fq, NEXT_trimmed.17.fq, NEXT_trimmed.18.fq, NEXT_trimmed.1_acc.fq, NEXT_trimmed.2_acc.fq, NEXT_trimmed.3_acc.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_2_TEST.fq, directional_dedupped_Ns_kept_3_TEST.fq, directional_dedupped_Ns_kept_4_TEST.fq, directional_dedupped_Ns_kept_5_TEST.fq, directional_dedupped_Ns_kept_6_TEST.fq, directional_dedupped_Ns_kept_7_TEST.fq, directional_dedupped_Ns_kept_8_TEST.fq, directional_dedupped_Ns_kept_9_TEST.fq, directional_dedupped_Ns_kept_10_TEST.fq, directional_dedupped_Ns_kept_11_TEST.fq, directional_dedupped_Ns_kept_12_TEST.fq, directional_dedupped_Ns_kept_13_TEST.fq, directional_dedupped_Ns_kept_14_TEST.fq, directional_dedupped_Ns_kept_15_TEST.fq, directional_dedupped_Ns_kept_16_TEST.fq, directional_dedupped_Ns_kept_17_TEST.fq, directional_dedupped_Ns_kept_18_TEST.fq, directional_dedupped_Ns_kept_1_acc_TEST.fq, directional_dedupped_Ns_kept_2_acc_TEST.fq, directional_dedupped_Ns_kept_3_acc_TEST.fq
hsa-let-7a-2-3p, 36.6729837678902, 50.8773984848001, 30.2490250991286, 0, 38.8884807998928, 36.3159976004541, 41.8248872920477, 29.8562050524163, 74.0668942928258, 47.4380801281882, 37.3376803926335, 48.8624814322571, 37.3677576614682, 37.7052224560993, 39.936176417595, 35.1025266798704, 45.8743320005505, 38.6504278854435, 44.475485771139, 43.2642765557441, 41.3580250046052, 2.79129488169562, 0, 0, 0, 0, 3.13454321477185, 5.23983602806456, 2.86232073694128, 0, 0, 0, 0, 5.85085084169974, 3.54693835146543, 6.735439465634, 8.96914422191713, 3.11882155674014, 4.11315339841073, 4.70398860946368, 5.56842264068846, 4.88771122620042, 5.21591747942709, 4.16743087284671, 3.35343134161197, 4.00973932816095, 4.36303084295065, 3.41567670581311, 5.04698904519484, 5.04698904519484, 0, 0, 3.19709908017861, 3.91347134240195, 0, 4.09529502238257, 4.74559601275023, 5.20079931557481, 3.77438554704861, 3.97531581851346, 4.69901954322228, 4.75821852721294, 2.97651691859658, 5.35941288957241, 3.51831871276446, 3.61456364352704, 4.7622037553393, 4.09917402416842, 4.20437524105085, 2.15816179195933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.3576410663322, 0, 0, 6.6143544720753, 16.6163253550355, 29.9661382637619, 26.785349259808, 30.4954494012727, 21.9118268089209, 24.4743620859499, 7.76520102811262, 27.889646247727, 22.1461437050238, 27.270021827874, 35.8916073458156, 17.61041362459, 19.8741568388961, 18.8888420703914
hsa-let-7a-3p, 601.868380661257, 534.804281747201, 520.535306914171, 747.723913502503, 529.747527340762, 798.95194720999, 398.011024230776, 396.527723352404, 261.520145280842, 374.233743233485, 330.478192411395, 381.127355171605, 380.863683857272, 371.396441192578, 359.425587758355, 387.687905775458, 431.801252005182, 404.149039410833, 288.267037405531, 198.62236055137, 275.551013220867, 101.88226318189, 89.7443944769328, 76.7657555984578, 100.748527079519, 87.2227529179976, 88.9426637191512, 88.2039064724201, 94.4565843190621, 110.403110349497, 60.589798409085, 69.3962526023595, 57.0875366014362, 321.309225390011, 351.947818358312, 286.454278450199, 341.468133591559, 391.585373235151, 393.58307852348, 308.512813923118, 363.566199156578, 360.487501821612, 324.118942318084, 331.608428025088, 303.955016803709, 388.550314241956, 372.228859915732, 383.006918163157, 320.483804369872, 320.483804369872, 253.615761698461, 231.658731317222, 304.523687387013, 330.838846561519, 312.472211406936, 280.438680880545, 307.796391389472, 285.807562387725, 299.723337539401, 294.444414830349, 274.44814142982, 262.812269986395, 202.353541849257, 252.065290096664, 242.001688792982, 225.959073175083, 235.418507383512, 213.002363444525, 200.35249482021, 227.024696889657, 533.829459986575, 533.829459986575, 533.829459986575, 533.829459986575, 533.829459986575, 533.829459986575, 533.829459986575, 533.829459986575, 533.829459986575, 495.905958197382, 507.212963572887, 1318.19752486018, 1222.48129363245, 635.847468252405, 978.924461867144, 1491.77676520763, 1471.86620295537, 1724.13063919712, 1609.48205173384, 1462.11644343163, 1484.77796654763, 1074.18614222225, 1411.21610013499, 1395.2070534165, 1447.68246312322, 1490.69809176288, 1510.09296830859, 1014.90694257296, 1316.40699352113
hsa-let-7a-5p/7c-5p, 145143.040815952, 134429.918749978, 137033.125203236, 183627.082013638, 178264.795986709, 184175.909312229, 173498.402221846, 178168.76966311, 182995.521238911, 176299.232381585, 178593.275086552, 182907.903994996, 198682.930264578, 192470.078549405, 198862.654845558, 206827.20742239, 203970.387026448, 195774.499960089, 179965.93507238, 197942.586993972, 187970.447534427, 57005.2197214288, 71704.2149258934, 66020.2684509931, 71067.5513127954, 67637.7466491537, 67831.123349761, 70325.5859446638, 69932.6291479116, 71963.3684068394, 76946.5709265417, 71802.3507980569, 76232.0798654637, 77514.9973762591, 77030.919691366, 89968.038358724, 74110.1167462251, 68421.4003832223, 70973.3759236657, 54302.557679075, 54667.0180384519, 56990.7128974969, 47915.9801710949, 47383.4338754381, 44840.6419245584, 50578.1945511061, 52654.8637540776, 53362.7304945365, 253543.696042561, 253543.696042561, 270145.950659575, 272351.953879487, 168740.811337425, 163899.190182365, 145623.741652794, 125089.362008233, 144342.863973126, 135665.923346364, 95554.4482649614, 97535.8191766163, 100813.273282404, 84210.554976404, 74187.650242792, 80370.7353696528, 69772.7166111554, 61113.1371120242, 66312.7037944981, 80110.1579543234, 82806.7960642563, 65927.1087120397, 75898.9212416556, 75898.9212416556, 75898.9212416556, 75898.9212416556, 75898.9212416556, 75898.9212416556, 75898.9212416556, 75898.9212416556, 75898.9212416556, 74284.458419976, 75186.0878729991, 38081.8306308151, 43686.5365662698, 56129.2113700274, 36636.9094208251, 32688.0044901004, 32104.3103645821, 26318.7202805977, 28076.1437487717, 30323.9763192912, 23532.0991456408, 25251.1395432509, 25516.2373520454, 24621.3009426441, 22118.3590086517, 22804.3309206197, 22120.1470469538, 22298.8039732414, 20786.44420454
hsa-let-7b-3p, 1114.21153624208, 1133.5011104288, 1000.73858036284, 1547.61461166797, 1579.73650893787, 1447.2597562255, 1335.02341856391, 1393.91157338469, 1685.25044668738, 1605.86686063571, 1388.64394311326, 1610.50738800719, 1447.28199865764, 1480.8726119633, 1451.63357536514, 1471.96595210923, 1439.58022801727, 1449.39104570413, 1194.24915496577, 1455.90845803496, 1361.00887193069, 309.368516054598, 310.214727729514, 273.836053552708, 308.757843445217, 308.777873966387, 292.296154777475, 328.363057758713, 353.701062493458, 312.146923506133, 273.272356089955, 259.151630811936, 239.054059518514, 618.118012880404, 578.723038119747, 701.278109068952, 591.322865487822, 511.024687667348, 551.345362204745, 425.309409153216, 413.746752023247, 431.321716822855, 376.918668381758, 347.8103786634, 337.288124339332, 352.199726562071, 359.326754423007, 342.341031344892, 774.081944806759, 774.081944806759, 913.39574449807, 848.418966523072, 736.451773119143, 689.373028776959, 690.485646294919, 503.543231447735, 640.284712032785, 588.320722576993, 391.422343780812, 453.547395657672, 495.048058904877, 299.450552645934, 267.291219289973, 319.49016193322, 228.983909555754, 213.991936787729, 223.254182573678, 298.079560172549, 369.088087827717, 309.382935595718, 3160.69323833635, 3160.69323833635, 3160.69323833635, 3160.69323833635, 3160.69323833635, 3160.69323833635, 3160.69323833635, 3160.69323833635, 3160.69323833635, 3651.67114672618, 2970.8187866412, 3209.74698286343, 2887.94035939576, 2243.37733517222, 2445.10636984384, 3382.34533893611, 3091.80038321403, 2591.13010208038, 2563.31194134031, 2567.66770515446, 2194.53446704017, 1951.65385839897, 2175.39240732271, 1668.77706389032, 1739.35313136918, 1723.99353951068, 1931.27536083004, 2088.11141187335, 1942.64475754718
hsa-let-7b-5p, 80287.9476396081, 79862.1340820593, 80839.2592013753, 93358.6714858839, 89903.2541016545, 91611.811576464, 86074.9434520778, 88955.6299472665, 104856.776572184, 90622.5457382156, 88050.9889718792, 87291.8458290986, 81201.574619819, 81943.8173332793, 83256.7115995089, 77664.7303072875, 70842.3473968501, 78059.5804748121, 81168.5851524356, 87639.6583957606, 87527.0286111265, 10753.4635317324, 13099.0503175551, 11314.9286479488, 13126.0390888962, 11956.9800591062, 12288.5848556112, 12376.4926982885, 12240.5101800482, 12179.6870190962, 13521.4172572111, 12364.460444136, 12956.4921611676, 37654.0038408398, 29195.8793272076, 45791.8757129166, 29203.8539131415, 27823.9312029549, 28388.6191421955, 21552.8726885561, 21325.7637318274, 22064.4819951006, 18144.8043010639, 18183.521493546, 17069.3679405659, 14282.3628197512, 14225.2257603563, 14545.7559218006, 55496.6915409625, 55496.6915409625, 54182.8124314045, 55855.6601700923, 37305.9900368801, 35655.3363643671, 34442.0900777319, 25438.1030878346, 29032.1475571896, 33773.3603554258, 21348.4196554902, 21235.8660582386, 23652.4513705453, 19372.769518979, 16399.7152663916, 17524.9920084238, 16798.3299713843, 14634.000519911, 13383.5524973695, 14634.2059520935, 14659.1428904575, 11879.2186841674, 32817.2981886796, 32817.2981886796, 32817.2981886796, 32817.2981886796, 32817.2981886796, 32817.2981886796, 32817.2981886796, 32817.2981886796, 32817.2981886796, 30481.3105442004, 32527.5014821158, 18337.0234332007, 19738.2653814588, 24986.1188228762, 17907.2623407319, 15412.5648959818, 16206.3926586487, 14017.1961942248, 14410.7940337347, 15603.212672207, 12684.8579161304, 13420.8557769213, 13130.4454534299, 13347.6110824514, 11938.3412949941, 11500.8673805109, 11611.1327164797, 11431.615013733, 10538.5208874269
hsa-let-7c-3p, 62.5597958393421, 41.4118359760001, 52.935793923475, 64.587447677957, 56.1722500442897, 72.6319952009082, 58.6897612001314, 66.2434549600487, 89.6117980332954, 50.9520119895355, 56.4037299548294, 62.543976233289, 61.8005222862744, 56.557833684149, 55.7248973268767, 78.0056148441565, 61.8939400007427, 63.0170019871361, 66.7132286567086, 48.5084312897736, 65.9698558355666, 10.2347478995506, 8.30005960480304, 6.87454527747383, 6.12918795921025, 9.32863667572166, 7.83635803692962, 5.23983602806456, 6.54244739872291, 9.92833726164544, 4.94610599257837, 4.33726578764747, 3.56797103758976, 21.8187979305053, 30.435019402897, 40.0164344722961, 17.9382884438343, 20.3300960735654, 23.9476931196358, 17.7833715723627, 18.7124900367322, 19.9268226914325, 13.4515766574699, 14.4584336404886, 16.532416514147, 17.2221590816093, 17.5767813958869, 15.3383218110098, 27.7584397485716, 27.7584397485716, 36.3210617625443, 20.9240144415555, 29.0936016296253, 25.2870455970588, 37.19907278654, 24.5717701342954, 25.0626789423372, 22.9307969823071, 18.005675314609, 23.7615468242964, 18.1610755319131, 19.0593086562252, 8.97915937109968, 20.3427177421404, 15.4806023361636, 15.3863182123111, 15.0112944461782, 15.2365525049279, 19.9567678108547, 18.4488024151362, 79.2816029683032, 79.2816029683032, 79.2816029683032, 79.2816029683032, 79.2816029683032, 79.2816029683032, 79.2816029683032, 79.2816029683032, 79.2816029683032, 73.2588347337041, 59.2846321059219, 163.814838040877, 140.791384940816, 107.467177732801, 103.62488672918, 153.239444940883, 148.067977303294, 150.843808989445, 142.312097205939, 115.535086810674, 148.885702689528, 63.415808396253, 132.475819676703, 140.693148243681, 139.907068508223, 126.817012621882, 152.623584746447, 132.494378925974, 130.768906641172
hsa-let-7d-3p, 3111.81053442245, 3195.81054203361, 3213.95891678241, 4714.88368049086, 4917.23235003089, 4678.03850571775, 3923.4442659766, 4399.12521319196, 5107.87248789784, 5047.76311882536, 4165.93182933979, 4626.2997420061, 3722.40355166164, 3660.23446992584, 3591.4696327172, 3483.73075894003, 2769.20769203323, 2868.53393045444, 4060.44712688362, 4709.90647050032, 4592.51688701444, 451.259339207458, 352.752533204129, 350.601809151166, 365.069757820461, 332.565897489477, 354.987019072912, 350.195707875648, 384.368784674971, 346.697537176659, 331.389101502751, 297.102706453852, 281.869711969591, 1579.72972725893, 1314.99878946427, 2051.53562076782, 1310.13570955861, 1250.53193234329, 1291.98718414524, 1054.03764280836, 1067.06517579705, 1123.49682201016, 939.322682917879, 876.521277052208, 832.925276629582, 621.378129001728, 637.314148131005, 631.900190575426, 3098.53583693431, 3098.53583693431, 3062.02342424232, 3493.31403009969, 2613.14893318399, 2606.07087778259, 2605.35220259253, 1742.81511648176, 2151.38629240524, 2022.48053384156, 1361.68693006392, 1539.17000645898, 1633.22679259023, 1174.59267798989, 1047.93238980724, 1312.19173651144, 1073.49767790965, 947.992583696931, 975.99295442307, 865.544462348468, 836.278264613287, 840.638827029319, 6072.97078737203, 6072.97078737203, 6072.97078737203, 6072.97078737203, 6072.97078737203, 6072.97078737203, 6072.97078737203, 6072.97078737203, 6072.97078737203, 5917.05972849149, 6600.35570779264, 6076.50664857878, 6349.348067209, 4741.98921745983, 5143.76299445056, 6125.88528088975, 5682.98998602168, 4838.27992945585, 5053.77364244424, 5139.31937881963, 4553.25111307359, 4252.74176306301, 4638.048170997, 4167.38315955124, 3869.97179331221, 3960.04067715499, 3601.32958622866, 3244.78733989711, 3338.96608290458
hsa-let-7d-5p, 5414.65819161203, 6333.64451370081, 5970.4013289405, 8354.13794388344, 7977.32369475135, 7204.01789437156, 9505.04293459599, 9609.9660012465, 11270.9696179428, 11515.154709635, 11689.0772190896, 11912.6729731843, 13876.3730854414, 13018.6706835297, 13512.3588534788, 14721.9996895377, 15119.5972961814, 14323.3444383295, 11519.150814725, 13182.4939626669, 12247.8111963024, 1601.73804627967, 2289.77894347504, 1863.57464896853, 2162.83720110632, 1844.27147079017, 1854.86594734124, 1902.93378419211, 1810.21341463415, 1806.16311463854, 2280.15486257863, 1881.28903539209, 2063.47658340608, 3819.50856509712, 3956.0948529119, 4819.80124114339, 4650.18095248468, 3949.12116229007, 4297.14846043297, 3030.80280736335, 3077.58949458795, 3162.57475002365, 2423.80024976009, 2348.04962321535, 2153.1376615088, 1693.68759884254, 1720.46771939952, 1711.12513615177, 13530.662193352, 13530.662193352, 11900.0431746882, 12043.2648835753, 13071.4994442643, 13035.1709690267, 11766.5981377081, 8922.66854409235, 10785.7016378535, 10872.507369178, 6214.30924011038, 6486.72158685934, 7063.13437557587, 5418.9500388112, 4362.82967343293, 4897.92710011331, 4054.56912323498, 3587.40557074595, 3763.95267466845, 5162.48429745649, 5033.47803858607, 4156.75884755831, 13329.8801790707, 13329.8801790707, 13329.8801790707, 13329.8801790707, 13329.8801790707, 13329.8801790707, 13329.8801790707, 13329.8801790707, 13329.8801790707, 12036.9900762455, 13332.4550424873, 10228.1889501773, 10779.1257885176, 11270.6202647275, 9460.7316798917, 9257.13948112755, 8935.19734464761, 7188.34188819795, 7225.72731646822, 7527.70850099201, 6545.87209290468, 6522.7688636146, 6693.51509945448, 6051.10808881385, 5640.15190587811, 5704.37279416163, 5644.1375666811, 5767.48031464765, 5227.85028994373
hsa-let-7e-3p, 144.534700732273, 132.5178751232, 131.07910876289, 119.238364943921, 130.492457795196, 126.433473127507, 126.82385178879, 110.094756130785, 141.732945868988, 115.95975142446, 99.30234146977, 128.996950981159, 109.228830087369, 125.36986466653, 114.236039520097, 113.108141524027, 113.593584001363, 114.270830270007, 112.012334534721, 122.582116907941, 131.432251241629, 29.308596257804, 21.2689027373078, 27.4981811098953, 30.2628655486006, 24.7208871906624, 38.3981543809551, 33.1856281777422, 26.5786925573118, 32.5649462181971, 21.0209504684581, 20.6020124913255, 8.32526575437612, 28.2791124015488, 31.57919306466, 28.1303648270597, 53.8148653315028, 44.4720851609243, 41.3143408018145, 42.5079946294218, 45.5186176326045, 48.7267211473519, 39.3023957441042, 41.0789614609176, 35.1439604600935, 36.1533873850577, 38.7686454902186, 43.0504158393049, 27.1275661179223, 27.1275661179223, 8.21171831153175, 17.9348695213333, 48.5959060187149, 53.5844537651959, 55.9757476216507, 45.2263015515292, 57.4662017168973, 42.3155944312678, 45.4782520832907, 58.0938198023672, 56.769236103253, 47.423577987889, 41.8696713215919, 46.2177326606137, 48.0836890744476, 46.5497182740713, 46.1209081087752, 52.2064616285601, 54.9371698163977, 62.1689832328929, 84.5670431661901, 84.5670431661901, 84.5670431661901, 84.5670431661901, 84.5670431661901, 84.5670431661901, 84.5670431661901, 84.5670431661901, 84.5670431661901, 50.7176548156413, 52.6974507608194, 281.556752882757, 346.827558024937, 161.200766599201, 235.911976170686, 361.866641065217, 336.678376963443, 442.663140398933, 445.572399585262, 386.44494553915, 416.064155461148, 371.435449178053, 386.271600531019, 402.538729697197, 505.088230377144, 460.608960937967, 515.104598519258, 394.833249199403, 438.802331173709
hsa-let-7e-5p, 13417.9975903692, 13068.392238712, 13373.8502219522, 15481.1143818857, 14702.4383077462, 15184.1221078343, 14439.030445145, 14668.7267448153, 15607.0833554315, 15362.9100978103, 15572.1959799235, 15153.2327417716, 16448.9994782886, 16119.9252305439, 16006.0480088565, 17183.8568940192, 18155.3130122179, 16503.7327070844, 14994.8276657288, 16373.5621183239, 15384.1703808541, 3750.56988937168, 4549.47017088266, 4075.45959199574, 4416.07992461099, 4248.26114212365, 4381.30777844735, 4521.10518621504, 4385.07536899403, 4539.2357960243, 4457.67802581125, 4232.08709229702, 4255.40012416539, 4370.46368602384, 3948.88655884279, 5189.45800711025, 4512.12019678302, 4142.71912262698, 4344.03840917485, 3565.50863454397, 3606.65439455382, 3723.90958546344, 3429.92327934432, 3336.07093851862, 3221.40674969271, 4046.28711613566, 4019.47332857431, 4161.71205574694, 15038.1347337887, 15038.1347337887, 15089.0323974396, 15430.4642690071, 9053.8648851578, 8746.30741401125, 7586.83946403576, 6623.87261424582, 7640.63203034097, 7036.28747402457, 4566.69713606431, 4589.95385290771, 4955.56061017658, 4113.08339856499, 3362.323119862, 3677.01826701137, 3000.83266876202, 2714.63498719809, 2801.62517449983, 3780.21187934445, 3811.91082688289, 3019.61643756271, 18863.7360662583, 18863.7360662583, 18863.7360662583, 18863.7360662583, 18863.7360662583, 18863.7360662583, 18863.7360662583, 18863.7360662583, 18863.7360662583, 18771.1675767668, 18648.310387985, 11582.2209708589, 11510.5542029662, 11503.4658164819, 10633.6772062731, 10758.1475381991, 9913.50362325866, 7618.31723157908, 7854.27241246112, 8077.49615547039, 7738.99724459474, 7107.74734106575, 7176.00597954016, 6219.15823810492, 6096.62835821426, 6194.89142788778, 6254.63190566688, 6351.7805257112, 5785.79762494606
